y,t,g,Q
6922,0,0.39129741157610437,5489.4
4659,0,0.2831801061730127,5455.4
6426,1,0.29980080365591516,6576.0
4825,0,0.12544955722161466,4836.8
3885,0,0.1153565865320064,3638.2
5898,0,0.3113969961157169,6741.4
7250,0,0.23495324816007745,11748.2
13039,1,0.14902674346373665,10590.4
2217,0,0.20098049067927853,6560.6
3107,0,0.0696652825822327,4416.6
4240,0,0.036009899766841734,5987.6
2554,0,0.06645875006070644,4734.2
5683,0,0.09118277996304851,5765.6
4965,0,0.1239755892274052,5636.0
5103,0,0.0892315896618978,5251.2
5438,0,0.06019220481132399,5278.0
3526,0,0.04013535429590569,5570.0
4266,0,0.04944914765747224,7634.4
5634,0,0.1000493742544346,5289.4
5810,0,0.06539688746270678,6702.8
6370,0,0.061419614735434044,5839.4
6885,1,0.14843125425203574,4935.6
14874,0,0.34975204647287456,6560.4
8482,1,0.09760003795682513,4564.2
15652,1,0.42078323841903087,19564.2
32695,1,0.751308418001965,19878.4
24579,1,0.6049294774184204,21472.2
14500,1,0.3619535979936407,5433.4
26992,1,0.581779909409546,18908.6
6268,0,0.2558354414767567,7186.2
7027,0,0.07430009032480758,6459.4
27437,0,0.12089262503301516,7501.0
6905,0,0.12162422599069217,4057.2
7411,0,0.2515153598815022,10813.6
13727,1,0.40620302114888596,14633.2
10252,0,0.37065706373130114,5248.8
31799,1,0.24800046208891682,19304.2
13580,1,0.6123416946065352,13169.6
7810,1,0.3114388212492267,7291.8
22520,1,0.6230195460195356,21241.2
6864,0,0.3132333771806001,4057.2
14169,1,0.5832368868326094,18098.6
16384,0,0.6689397037278545,21460.2
20732,0,0.7048448655084517,19122.6
12152,0,0.39910060840692857,13871.6
15449,0,0.5142488176437513,17369.8
14894,0,0.20569508056602562,20650.2
10587,1,0.27253114109422183,11242.6
17415,1,0.6198141875649231,19109.6
17483,0,0.30614891181920273,13361.8
12268,0,0.32655868588367176,19677.8
5035,0,0.11346925168157158,6809.8
15239,1,0.5376379955207942,20221.2
19181,0,0.6221477967378682,21863.8
6299,0,0.11119996507979309,10377.0
5957,0,0.03840693867171487,4740.8
5885,0,0.05523948120642648,5382.6
4870,0,0.058649690622742,8201.4
5756,0,0.08717771291181137,5203.6
4569,0,0.2118705201349216,5658.4
9770,0,0.2392226247964639,5910.8
5557,0,0.06751553848248375,5542.8
5241,0,0.0513796411365831,8370.6
4011,0,0.02256545532239729,5155.2
5312,0,0.022976710733652702,6681.0
10218,0,0.2919805020646684,6748.4
23129,1,0.5920024976909082,17586.6
24397,1,0.7202849022615473,18683.8
20150,1,0.6002979963257234,19239.0
5894,0,0.22112552030594723,12666.6
16298,1,0.6676530777749962,17475.8
4639,0,0.2689349786062123,6560.6
12698,0,0.556408387312947,16774.0
3066,0,0.10915539760721332,4631.8
10015,0,0.3851837554343305,13214.0
12509,0,0.3431052577847939,9747.6
