y,t,g,Q
6922,0,0.34357805353719184,5381.0
4659,0,0.21718009259947632,8034.2
6426,1,0.1920530022072625,7042.2
4825,0,0.08676260139531386,4236.8
3885,0,0.11333327447798425,3638.2
5898,0,0.41563674393605465,7651.8
7250,0,0.2929732012491893,9669.0
13039,1,0.22759883722391103,8511.2
2217,0,0.10256718084795086,6560.6
3107,0,0.07179176317239175,4486.6
4240,0,0.043933355779673666,5116.2
2554,0,0.12728941851916167,4493.8
5683,0,0.0833785857095903,4896.8
4965,0,0.12225889783644854,6891.4
5103,0,0.14483673472432199,5455.4
5438,0,0.05542951327708669,5278.0
3526,0,0.06877286058445382,5139.4
4266,0,0.08686834001239338,7634.4
5634,0,0.17332033286863396,5289.4
5810,0,0.07188376193730858,5428.2
6370,0,0.06934745368931303,6705.8
6885,1,0.17294695479530542,7522.0
14874,0,0.3946254103603657,6148.0
8482,1,0.10919130837200042,6064.6
15652,1,0.42145478672753517,16802.2
32695,1,0.7408439767277073,17452.6
24579,1,0.4939967172798466,19338.2
14500,1,0.23233241325913348,4920.6
26992,1,0.6286305835422943,20221.2
6268,0,0.36172156817711676,8167.4
7027,0,0.11095170087468176,6500.6
27437,0,0.14218605656460026,4663.0
6905,0,0.08883091799137167,4057.2
7411,0,0.26932723630317307,9497.8
13727,1,0.4107136049578968,14633.2
10252,0,0.32860911879697324,13146.4
31799,1,0.4314484508644724,13621.8
13580,1,0.5219110995708445,15037.6
7810,1,0.3255005195183006,7291.8
22520,1,0.6334316599140718,18755.8
6864,0,0.36374242611800794,4461.8
14169,1,0.46347447785692764,18098.6
16384,0,0.5129925361013573,21460.2
20732,0,0.64801317477265,19122.6
12152,0,0.34346246130126573,13128.4
15449,0,0.5193166693112135,18683.8
14894,0,0.3460447324432366,19456.4
10587,1,0.36760902526244377,11242.6
17415,1,0.5151409840401562,21460.2
17483,0,0.3064264680654901,13294.8
12268,0,0.37265740834487104,10761.8
5035,0,0.11393793257676046,6007.0
15239,1,0.5407529937011093,18685.2
19181,0,0.547620368272876,16501.8
6299,0,0.09367720280043564,10377.0
5957,0,0.06523392835359149,5034.8
5885,0,0.13950667606037623,6829.2
4870,0,0.10477709770007859,8313.4
5756,0,0.06273407220718362,5883.6
4569,0,0.10862361926134165,5777.0
9770,0,0.3112903580590243,5764.0
5557,0,0.07346736206547347,6591.0
5241,0,0.08984067840661418,6669.8
4011,0,0.038442914845834376,5140.6
5312,0,0.05915276545274379,6543.6
10218,0,0.2091820994955614,6484.2
23129,1,0.5642418660155261,20445.4
24397,1,0.7465675748032103,18683.8
20150,1,0.5526725004395815,19239.0
5894,0,0.23056035731556215,15859.6
16298,1,0.5812130668563776,20334.6
4639,0,0.15725176474027658,6061.8
12698,0,0.5472719399410604,16774.0
3066,0,0.10335198577931747,3866.6
10015,0,0.3119500293397331,12257.0
12509,0,0.20163302637366676,10440.8
