Community Area,Community Area Name,Treatment_2004,# 2004 Closing,Treatment_2013,# 2013 Closing,2000_POP,2010_POP,POP_CHANGE,Per_Year_Change,Pop_2001,Pop_2002,Pop_2003,Pop_2004,Pop_2005,Pop_2006,Pop_2007,Pop_2008,Pop_2009,Pop_2010,Pop_2011,Pop_2012,Pop_2013,Pop_2014,Pop_2015,Pop_2016,Pop_2017,Pop_2018,Pop_2019,Pop_2020,2020_2010_Diff,Crime_2002,Crime_2003,Crime_2004,Crime_2005,Crime_2006,Crime_2007,Crime_2008,Crime_2009,Crime_2010,Crime_2011,Crime_2012,Crime_2013,Crime_2014,Crime_2015,Crime_2016,Crime_2017,Crime_2018,Crime_2019,Crime_2020,2002_cr_per_100k,2003_cr_per_100k,2004_cr_per_100k,2005_cr_per_100k,2006_cr_per_100k,2007_cr_per_100k,2008_cr_per_100k,2009_cr_per_100k,2010_cr_per_100k,2011_cr_per_100k,2012_cr_per_100k,2013_cr_per_100k,2014_cr_per_100k,2015_cr_per_100k,2016_cr_per_100k,2017_cr_per_100k,2018_cr_per_100k,2019_cr_per_100k,2020_cr_per_100k,Birth Rate,General Fertility Rate,Low Birth Weight,Prenatal Care Beginning in First Trimester,Preterm Births,Teen Birth Rate,Assault (Homicide),Breast cancer in females,Cancer (All Sites),Colorectal Cancer,Diabetes-related,Firearm-related,Infant Mortality Rate,Lung Cancer,Prostate Cancer in Males,Stroke (Cerebrovascular Disease),Childhood Blood Lead Level Screening,Childhood Lead Poisoning,Gonorrhea in Females,Gonorrhea in Males,Tuberculosis,Below Poverty Level,Crowded Housing,Dependency,No High School Diploma,Per Capita Income,Unemployment,PERCENT OF HOUSING CROWDED,PERCENT HOUSEHOLDS BELOW POVERTY,PERCENT AGED 16+ UNEMPLOYED,PERCENT AGED 25+ WITHOUT HIGH SCHOOL DIPLOMA,PERCENT AGED UNDER 18 OR OVER 64,PER CAPITA INCOME ,HARDSHIP INDEX,Males_15_25,Females_15_25,MED_AGE,WHITE,HISP,BLACK,ASIAN,BACH,MEDINC,ONLY_ENGLISH,NOT_ENGLISH
37,Fuller Park,0,,1,1,3420,2876,-544,-54.4,3366,3311,3257,3202,3148,3094,3039,2985,2930,2876,2845,2814,2783,2752,2722,2691,2660,2629,2598,2567,-31,1295,1937,1521,1393,1521,1418,1405,1160,1215,1189,1226,1080,933,844,930,880,836,906,681,39112,59472,47502,44250,49160,46660,47069,39590,42246,41793,43568,38807,33903,31007,34560,33083,31799,34873,26529,11.9,60.4,17.1,71.4,14.3,69.2,49.6,8.5,258.9,21.1,111.7,22.6,22.6,89.6,70.5,82.4,489.9,2.5,1061.9,1556.4,0,55.5,4.5,38.2,33.7,9016,40,3.2,51.2,33.9,26.6,44.9,10432,97,14443,19067,49.70070423,75,173,2175,12,137,23357.14286,2160,173
38,Grand Boulevard,1,1,1,2,28006,21929,-6077,-607.7,27398,26791,26183,25575,24968,24360,23752,23144,22537,21929,22195,22461,22727,22993,23259,23525,23791,24057,24323,24589,266,6553,8571,7655,6404,6022,5347,5392,5302,4687,4744,4128,4007,3511,3160,3317,3466,3267,3394,2945,24460,32735,29932,25649,24721,22512,23298,23526,21374,21374,18379,17631,15270,13586,14100,14569,13580,13954,11977,14.3,58.2,12.7,74.2,13.7,54.8,32.1,22.6,218.3,27.7,82.6,25.8,12.1,63.8,39,46.7,590.4,1,1454.6,1680,13.2,28.3,2.7,41.7,19.4,22056,20.6,3.3,29.3,24.3,15.9,39.5,23472,57,14443,19067,37.69596542,603,387,20546,88,2331,31970.13487,19941,733
39,Kenwood,0,,1,1,18363,17841,-522,-52.2,18311,18259,18206,18154,18102,18050,17998,17945,17893,17841,17969,18096,18224,18351,18479,18606,18734,18861,18989,19116,128,2020,2937,2739,2908,2359,2455,2334,2320,2301,2075,1796,1597,1504,1380,1420,1537,1473,1388,1207,11063,16132,15088,16065,13069,13640,13006,12966,12897,11548,9925,8763,8196,7468,7632,8204,7810,7309,6314,12.2,51.1,11.4,77.6,11.9,25.7,15.2,30.9,196.4,34.2,45.5,17.4,8.9,49.1,46.2,31.5,397.9,0.4,610.2,549.1,0,23.1,2.3,34.2,10.8,37519,11,2.4,21.7,15.7,11.3,35.4,35911,26,14443,19067,37.67619421,2913,397,11724,1582,3067,44087.98283,13875,2326
40,Washington Park,0,,1,1,14146,11717,-2429,-242.9,13903,13660,13417,13174,12932,12689,12446,12203,11960,11717,11816,11915,12014,12113,12212,12311,12410,12509,12608,12707,99,3800,5244,5239,5184,5193,4479,4237,4237,4055,4008,3473,3377,2947,2776,2713,2736,2817,2341,1965,27818,39085,39768,40087,40925,35987,34721,35426,34608,33920,29148,28109,24329,22732,22037,22047,22520,18568,15464,19.3,72.1,17.7,74.9,16.9,82.6,44.6,26,258,31.9,88.2,39.5,19.3,79.8,67,43.3,502.4,0.4,2145.8,2058,5,39.1,4.9,40.9,28.3,13087,23.2,5.6,42.1,28.6,25.4,42.8,13785,88,14443,19067,29.23340961,85,278,10760,14,805,25384.61538,9684,451
42,Woodlawn,0,,1,2,27086,25983,-1103,-110.3,26976,26865,26755,26645,26535,26424,26314,26204,26093,25983,25827,25671,25516,25360,25204,25048,24892,24737,24581,24425,-156,5817,8059,8119,7874,7893,8021,7140,6889,6486,5712,5412,4755,4199,3760,3629,3858,3505,3561,2923,21653,30121,30471,29674,29871,30482,27248,26402,24962,22116,21082,18635,16558,14918,14488,15499,14169,14487,11967,15.1,60.1,17.4,73.3,16.3,51.1,31.1,32.9,241.3,23.9,82.1,25,11.5,69.8,58,60,444.3,1.6,1382,1818.6,17.4,28.3,1.8,37.6,17.9,18928,17.3,2.9,30.7,23.4,16.5,36.1,18672,58,14443,19067,31.53846154,2051,695,19279,711,1875,25122.2597,19669,1755
48,Calumet Heights,0,,1,2,15974,13812,-2162,-216.2,15758,15542,15325,15109,14893,14677,14461,14244,14028,13812,13740,13667,13595,13522,13450,13378,13305,13233,13160,13088,-72,1759,2463,2552,2339,2359,2349,2295,2113,2101,2223,1924,1617,1592,1488,1420,1368,1401,1432,1287,11318,16072,16891,15705,16073,16244,16112,15063,15211,16179,14078,11894,11773,11063,10614,10282,10587,10881,9833,10,57.4,9.3,75,16.4,39.3,19.5,33.5,216.6,36,81.4,24.5,13.9,48,40.4,39.2,383.2,0.3,1188,1106.5,2.8,12,1.8,42.3,11.2,28977,17.2,2.1,11.5,20,11,44,28887,38,7927,9232,49.54450262,219,457,12426,13,1782,49767.65799,12118,699
49,Roseland,0,,1,1,52723,44619,-8104,-810.4,51913,51102,50292,49481,48671,47861,47050,46240,45429,44619,44039,43458,42878,42298,41718,41137,40557,39977,39396,38816,-580,8801,11688,11810,11676,12276,12620,12288,11330,10381,9920,9038,8165,7399,6656,6892,6974,6962,6542,5979,17222,23240,23868,23990,25649,26823,26574,24940,23266,22525,20797,19042,17493,15955,16754,17196,17415,16606,15403,14.3,68.8,12.2,69,12.8,79.7,40.9,43.5,258.5,32,95.5,37.7,9.6,70.3,57.6,55.6,369.5,1.9,1512,1725.3,7.9,19.5,3.1,40.9,17.4,17974,17.8,2.5,19.8,20.3,16.9,41.2,17949,52,8048,10582,39.67787419,456,548,40849,126,3457,38685.63686,38522,1607
53,West Pullman,0,,1,2,36649,29651,-6998,-699.8,35949,35249,34550,33850,33150,32450,31750,31051,30351,29651,29296,28942,28587,28232,27878,27523,27168,26813,26459,26104,-355,5541,7291,7888,7940,7661,8049,7142,6759,5980,5913,5756,5158,4381,4025,3897,4001,4086,3859,3850,15720,21103,23303,23952,23609,25351,23001,22269,20168,20184,19888,18043,15518,14438,14159,14727,15239,14585,14749,15.3,71.2,14.9,71.3,14.4,67.8,43.9,20.3,263.6,32.6,83.4,46.5,11.9,78.6,62.9,63.9,397.2,1.1,1656.9,1673.4,9.2,24.3,3.3,42.2,22.6,16228,17,3.3,25.9,19.4,20.5,42.1,16563,62,7927,9232,36.24724872,158,1682,25634,65,1727,38144.49064,23830,1979
67,West Englewood,0,,1,4,45282,35505,-9777,-977.7,44304,43327,42349,41371,40394,39416,38438,37460,36483,35505,34919,34333,33748,33162,32576,31990,31404,30819,30233,29647,-586,10186,13919,14121,13676,13712,13562,13544,11532,11225,10829,9994,9022,7618,7549,7011,6968,7128,6622,5679,23510,32867,34133,33857,34788,35283,36156,31609,31615,31012,29109,26733,22972,23174,21916,22188,23129,21903,19155,20.3,93.3,16.1,63.6,13.8,116.9,47.2,39.2,247.6,24.4,88.2,39.3,13.3,66.3,75,64.6,450.6,2.6,2762.2,2545.7,10.9,32.3,6.9,40.9,30.3,10559,34.7,4.8,34.4,35.9,26.3,40.7,11317,89,11339,13802,37.59831461,289,1918,27304,4,1049,28006.27943,26228,1683
68,Englewood,0,,1,1,40222,30654,-9568,-956.8,39265,38308,37352,36395,35438,34481,33524,32568,31611,30654,30026,29397,28769,28140,27512,26883,26255,25626,24998,24369,-628,9544,12546,12959,12198,12313,12397,12441,10723,10166,9331,9100,8205,7123,7261,6309,5944,6252,6034,5158,24914,33589,35607,34421,35710,36979,38200,33922,33164,31076,30956,28520,25313,26392,23468,22639,24397,24138,21166,20,85.8,14.5,69.7,13.1,105.3,45.1,32.9,252.2,30.2,101.8,44.9,13.4,76.8,57.7,71.6,401,2.8,2594.9,2323.5,11.3,42.2,4.8,43.4,29.4,11993,21.3,3.8,46.6,28,28.5,42.5,11888,94,11339,13802,31.94823232,181,843,23711,68,813,19795.0429,21882,820
69,Greater Grand Crossing,0,,1,2,38619,32602,-6017,-601.7,38017,37416,36814,36212,35611,35009,34407,33805,33204,32602,32489,32376,32263,32150,32037,31923,31810,31697,31584,31471,-113,7910,10905,11592,11207,10969,11286,10501,9698,9375,8931,8737,7745,6767,6790,6622,6497,6387,6752,5940,21141,29622,32011,31471,31332,32801,31063,29207,28756,27489,26986,24006,21048,21194,20744,20424,20150,21378,18875,18.2,82.4,12.9,72.3,15.1,84.3,49.7,29.1,274.4,31.5,92.3,44.6,14.2,77.5,70.3,58.2,453.7,1.9,2500.3,2034.2,4.8,25.6,4.2,42.9,17.9,17213,18.9,3.6,29.6,23,16.5,41,17285,66,11339,13802,35.68322981,393,450,30556,4,2180,27035.42781,28705,888
71,Auburn Gresham,1,1,1,1,55928,48743,-7185,-718.5,55210,54491,53773,53054,52336,51617,50899,50180,49462,48743,48357,47970,47584,47197,46811,46424,46038,45651,45265,44878,-387,8977,12300,13150,12820,12155,13327,12888,11771,10670,10271,9429,8596,8009,7864,7620,7546,7440,7622,6237,16474,22874,24786,24496,23548,26183,25684,23798,21890,21240,19656,18065,16969,16799,16414,16391,16298,16839,13898,15.1,70.5,11.6,71.8,13.9,83.1,37.6,41.9,243,24.5,83.6,32.6,15.6,65.1,43.5,63.7,393.8,1.5,2032.2,1986.7,7.3,24.5,4.1,42.1,19.5,16022,24.2,4,27.6,28.3,18.5,41.9,15528,74,8048,10582,39.77464195,324,862,44435,143,3003,31694.19134,42947,757
1,Rogers Park,0,,0,,63484,54991,-8493,-849.3,62635,61785,60936,60087,59238,58388,57539,56690,55840,54991,55055,55118,55182,55246,55310,55373,55437,55501,55564,55628,64,6106,7685,7610,7531,7207,6809,6499,5963,5579,5126,4928,4440,3808,3596,3674,4162,3842,4050,3289,9883,12612,12665,12713,12343,11834,11464,10679,10145,9311,8941,8046,6893,6502,6635,7508,6922,7289,5912,16.4,62,11,73,11.2,40.8,7.7,23.3,176.9,25.3,77.1,5.2,6.4,36.7,21.7,33.7,364.7,0.5,322.5,423.3,11.4,22.7,7.9,28.8,18.1,23714,7.5,7.7,23.6,8.7,18.2,27.5,23939,39,9638,9224,33.972649,23754,12072,14521,2792,9434,39106.1828,32128,19746
2,West Ridge,0,,0,,73199,71942,-1257,-125.7,73073,72948,72822,72696,72571,72445,72319,72193,72068,71942,72460,72978,73496,74014,74532,75050,75568,76086,76604,77122,518,4049,5236,5760,5842,6052,5270,5472,5230,4890,4425,4035,3816,3417,3120,3295,3603,3545,3474,3097,5551,7190,7923,8050,8354,7287,7580,7257,6797,6107,5529,5192,4617,4186,4390,4768,4659,4535,4016,17.3,83.3,8.1,71.1,8.3,29.9,5.8,20.2,155.9,17.3,60.5,3.7,5.1,36,14.2,34.7,331.4,1,141,205.7,8.9,15.1,7,38.3,19.6,21375,7.9,7.8,17.2,8.8,20.8,38.5,23040,46,6605,6578,35.25100753,32173,14256,9201,17200,12747,49855.33454,29206,41081
4,Lincoln Square,0,,0,,44574,39493,-5081,-508.1,44066,43558,43050,42542,42034,41525,41017,40509,40001,39493,39593,39693,39793,39893,39994,40094,40194,40294,40394,40494,100,2616,3273,3358,3375,3285,2846,2786,2640,2560,2316,2339,2219,1900,1771,1991,2010,1944,1804,1882,6006,7603,7893,8029,7911,6939,6877,6600,6482,5850,5893,5576,4763,4428,4966,5001,4825,4466,4648,17.1,61,8.1,80.5,9.7,38.4,5,21.7,153.2,8.6,55.4,6.1,3.8,43.1,27.6,36.9,273.3,0.4,98.8,195.5,8.5,9.5,3.1,25.6,12.5,35503,6.8,3.4,10.9,8.2,13.4,25.5,37524,17,6605,6578,35.07910312,26782,6978,1594,4650,12292,71736.93086,25508,12917
5,North Center,0,,0,,31895,31867,-28,-2.8,31892,31889,31887,31884,31881,31878,31875,31873,31870,31867,32192,32516,32841,33166,33491,33815,34140,34465,34789,35114,325,2411,3278,3135,2991,2822,2634,2594,2432,2062,1948,1921,1726,1543,1395,1407,1429,1339,1275,1153,7561,10280,9833,9382,8853,8264,8139,7631,6471,6051,5908,5256,4652,4165,4161,4186,3885,3665,3284,22.4,76.2,9.1,80.4,9.8,8.4,1,16.6,152.1,26.1,49.8,1,2.7,42.4,15.1,41.6,178.1,0.9,85.4,188.6,1.9,7.1,0.2,25.5,5.4,51615,4.5,0.3,7.5,5.2,4.5,26.2,57123,6,6605,6578,34.11271857,27568,4192,668,1791,10691,104351.2165,27478,5043
6,Lake View,0,,0,,94817,94368,-449,-44.9,94772,94727,94682,94637,94593,94548,94503,94458,94413,94368,95236,96104,96973,97841,98709,99577,100445,101314,102182,103050,868,6588,8808,8655,7742,7843,8003,8216,7762,7462,7529,7699,6828,5707,5593,6090,5763,5975,5982,4290,6955,9303,9145,8185,8295,8469,8698,8221,7907,7906,8011,7041,5833,5666,6116,5737,5898,5854,4163,13.5,38.7,6.3,79.1,8.1,15.8,1.4,20.1,126.9,13,38.5,1.8,2.2,32.5,17,24.4,179.2,0.4,81.8,357.6,3.2,10.5,1.2,16.5,2.9,58227,4.7,1.1,11.4,4.7,2.6,17,60058,5,12665,12072,31.1677798,79382,8323,3475,6441,36314,86118.62301,80324,14779
7,Lincoln Park,0,,0,,64320,64116,-204,-20.4,64300,64279,64259,64238,64218,64198,64177,64157,64136,64116,64754,65391,66029,66666,67304,67942,68579,69217,69854,70492,638,6035,7948,7308,6618,6665,6916,6823,6120,5798,5285,5011,4481,4092,3765,4248,4478,5018,4313,2860,9389,12369,11376,10306,10382,10776,10635,9542,9043,8162,7663,6786,6138,5594,6252,6530,7250,6174,4057,13.2,38.7,6.6,75.7,7.8,2.1,0.7,23.7,152.9,16.7,50.1,2.3,2.4,40,27.3,35.3,173.3,0.6,50.3,93.1,1.2,11.8,0.6,20.4,4.3,71403,4.5,0.8,12.3,5.1,3.6,21.5,71551,2,12665,12072,30.23477452,53512,4446,3206,4653,23293,99684.56573,55591,8365
9,Edison Park,0,,0,,11259,11187,-72,-7.2,11252,11245,11237,11230,11223,11216,11209,11201,11194,11187,11221,11255,11288,11322,11356,11390,11424,11457,11491,11525,34,323,427,400,461,437,419,473,386,305,369,323,299,244,258,310,275,254,268,267,2872,3800,3562,4108,3896,3738,4223,3448,2726,3288,2870,2649,2155,2272,2722,2407,2217,2332,2317,11.3,59.5,7.9,86.6,12.6,3.9,0,13.8,189.7,15.1,53,7.1,4.6,45.2,28,38.9,134.7,0,,.,1.8,5.1,0.6,36.6,8.5,38337,7.4,1.1,3.3,6.5,7.4,35.3,40959,8,14299,16319,40.44797688,9599,1201,194,309,2393,99194.21488,8915,1863
10,Norwood Park,0,,0,,37669,37023,-646,-64.6,37604,37540,37475,37411,37346,37281,37217,37152,37088,37023,37151,37279,37407,37535,37663,37791,37919,38047,38175,38303,128,1467,2087,1894,1748,1822,1780,2003,1718,1444,1449,1469,1232,1255,1280,1323,1108,1182,1161,1027,3908,5569,5063,4681,4887,4783,5391,4632,3900,3900,3941,3294,3344,3399,3501,2922,3107,3041,2681,10.4,59.6,4.9,89.4,8.3,3.4,4.7,20.7,180.8,18.9,47.3,8.7,4.4,44.5,26.4,45.2,163.1,0,,.,1.6,5.9,2.3,40.6,13.5,31659,7.3,2,5.4,9,11.5,39.5,32875,21,14299,16319,44.01426607,30218,4377,165,1231,6933,74069.37653,24359,10407
11,Jefferson Park,0,,0,,25859,25448,-411,-41.1,25818,25777,25736,25695,25654,25612,25571,25530,25489,25448,25525,25602,25678,25755,25832,25909,25986,26062,26139,26216,77,1441,1869,1707,1610,1805,1621,1778,1509,1399,1301,1411,1336,1232,1159,1074,1064,1105,970,994,5590,7262,6643,6276,7047,6339,6964,5920,5497,5097,5511,5203,4784,4487,4145,4095,4240,3711,3792,13.8,67.8,6.6,82.9,7.7,28.6,4.8,18.4,208.2,23.2,49.2,4.2,8.3,55.7,32.1,41.9,236.8,0.2,,.,7.1,6.4,1.9,34.4,13.5,27280,9,2.7,8.6,12.4,13.4,35.5,27751,25,14299,16319,40.78052995,17522,5948,236,2476,4617,71459.19421,14375,10771
12,Forest Glen,0,,0,,18165,18508,343,34.3,18199,18234,18268,18302,18337,18371,18405,18439,18474,18508,18617,18726,18834,18943,19052,19161,19270,19378,19487,19596,109,618,841,776,873,786,746,798,753,697,605,601,443,462,450,574,551,495,463,552,3389,4604,4240,4761,4278,4053,4328,4076,3766,3250,3209,2352,2439,2362,2996,2859,2554,2376,2817,10,60.6,7.6,79.3,10.3,6.3,3.3,25,138.7,14.3,37.2,6.2,3.8,27,20.3,31,160.8,0,,.,2.2,6.1,1.3,40.6,6.3,41509,5.5,1.1,7.5,6.8,4.9,40.5,44164,11,8510,8681,42.98728814,13444,2613,188,2395,4402,110365.4791,12204,5546
