Community Area,Community Area Name,Treatment_2004,# 2004 Closing,Treatment_2013,# 2013 Closing,2000_POP,2010_POP,POP_CHANGE,Per_Year_Change,Pop_2001,Pop_2002,Pop_2003,Pop_2004,Pop_2005,Pop_2006,Pop_2007,Pop_2008,Pop_2009,Pop_2010,Pop_2011,Pop_2012,Pop_2013,Pop_2014,Pop_2015,Pop_2016,Pop_2017,Pop_2018,Pop_2019,Pop_2020,2020_2010_Diff,Crime_2002,Crime_2003,Crime_2004,Crime_2005,Crime_2006,Crime_2007,Crime_2008,Crime_2009,Crime_2010,Crime_2011,Crime_2012,Crime_2013,Crime_2014,Crime_2015,Crime_2016,Crime_2017,Crime_2018,Crime_2019,Crime_2020,2002_cr_per_100k,2003_cr_per_100k,2004_cr_per_100k,2005_cr_per_100k,2006_cr_per_100k,2007_cr_per_100k,2008_cr_per_100k,2009_cr_per_100k,2010_cr_per_100k,2011_cr_per_100k,2012_cr_per_100k,2013_cr_per_100k,2014_cr_per_100k,2015_cr_per_100k,2016_cr_per_100k,2017_cr_per_100k,2018_cr_per_100k,2019_cr_per_100k,2020_cr_per_100k,Birth Rate,General Fertility Rate,Low Birth Weight,Prenatal Care Beginning in First Trimester,Preterm Births,Teen Birth Rate,Assault (Homicide),Breast cancer in females,Cancer (All Sites),Colorectal Cancer,Diabetes-related,Firearm-related,Infant Mortality Rate,Lung Cancer,Prostate Cancer in Males,Stroke (Cerebrovascular Disease),Childhood Blood Lead Level Screening,Childhood Lead Poisoning,Gonorrhea in Females,Gonorrhea in Males,Tuberculosis,Below Poverty Level,Crowded Housing,Dependency,No High School Diploma,Per Capita Income,Unemployment,PERCENT OF HOUSING CROWDED,PERCENT HOUSEHOLDS BELOW POVERTY,PERCENT AGED 16+ UNEMPLOYED,PERCENT AGED 25+ WITHOUT HIGH SCHOOL DIPLOMA,PERCENT AGED UNDER 18 OR OVER 64,PER CAPITA INCOME ,HARDSHIP INDEX,Males_15_25,Females_15_25,MED_AGE,WHITE,HISP,BLACK,ASIAN,BACH,MEDINC,ONLY_ENGLISH,NOT_ENGLISH
13,North Park,0,,0,,18514,17931,-583,-58.3,18456,18397,18339,18281,18223,18164,18106,18048,17989,17931,17894,17857,17819,17782,17745,17708,17671,17633,17596,17559,-37,1156,1474,1509,1600,1559,1504,1542,1313,1190,1116,1082,918,873,844,974,968,1002,796,774,6284,8038,8254,8780,8583,8307,8544,7299,6637,6237,6059,5152,4909,4756,5500,5478,5683,4524,4408,10.9,54.2,9.7,79.1,10.2,10.5,3,20.4,143.7,21.9,58.9,3.1,5.4,34.7,14.6,26.7,317.3,0.4,,.,8.9,12.4,3.8,39.7,18.2,24941,7.5,3.9,13.2,9.9,14.4,39,26576,33,8510,8681,38.49878935,9789,3154,541,4703,3967,56086.95652,7471,10033
14,Albany Park,0,,0,,57655,51542,-6113,-611.3,57044,56432,55821,55210,54599,53987,53376,52765,52153,51542,51227,50913,50598,50284,49969,49654,49340,49025,48711,48396,-315,3201,4434,3801,3922,4094,3708,3822,3583,3549,3097,2947,2697,2405,2542,2420,2486,2434,2218,2014,5672,7943,6885,7183,7583,6947,7243,6870,6886,6046,5788,5330,4783,5087,4874,5039,4965,4553,4162,18.3,76.5,8.5,73.3,8.3,44.5,4.7,22.9,158.1,16.8,72.1,5.3,4.9,36.9,13.1,39.1,374.1,1.2,72.9,101.8,16.8,17.1,11.2,32.1,34.9,20355,9,11.3,19.2,10,32.9,32,21323,53,8510,8681,33.66573315,15608,24927,2401,7536,7581,58128.20513,17232,31161
15,Portage Park,0,,0,,65340,64124,-1216,-121.6,65218,65097,64975,64854,64732,64610,64489,64367,64246,64124,64014,63903,63793,63682,63572,63462,63351,63241,63130,63020,-110,4651,6510,5929,5858,5446,5347,5734,5296,4641,4391,4164,3981,3395,3459,3266,3379,3227,2900,2606,7145,10019,9142,9050,8429,8291,8908,8243,7238,6859,6516,6240,5331,5441,5146,5334,5103,4594,4135,14.2,66.1,6.9,79.8,8.7,41.7,3.3,23.3,168.7,15.9,48.2,4.7,4.7,44.9,14.8,37.9,287.3,0.5,87.7,84.9,4,12.3,4.4,34.6,18.7,23617,10.6,4.1,11.6,12.6,19.3,34,24336,35,14299,16319,37.94751495,32324,26215,901,3260,8452,61392.54837,26149,34450
16,Irving Park,0,,0,,58643,53359,-5284,-528.4,58115,57586,57058,56529,56001,55473,54944,54416,53887,53359,53217,53075,52933,52791,52650,52508,52366,52224,52082,51940,-142,4192,5495,5160,5166,5071,4709,4911,4664,4531,4313,3943,3496,2855,3022,3002,3017,2840,2539,2193,7280,9631,9128,9225,9141,8571,9025,8655,8492,8105,7429,6605,5408,5740,5717,5761,5438,4875,4222,15.8,67.1,7.7,79.9,10.2,37,4.1,29.9,169.4,19.2,60.2,5.7,5.3,41.3,17.9,42,333.5,0.6,159.6,74.5,9.3,10.8,5.6,31.6,22,26713,10.3,6.3,13.1,10,22.4,31.6,27249,34,8510,8681,35.72197222,22786,23704,1479,4786,10054,59537.67123,24492,26102
17,Dunning,0,,0,,42164,41932,-232,-23.2,42141,42118,42094,42071,42048,42025,42002,41978,41955,41932,42054,42175,42297,42418,42540,42661,42783,42904,43026,43147,121,2298,3078,2801,2653,2488,2693,2944,2699,2351,2160,1930,1834,1573,1661,1757,1522,1513,1338,1365,5456,7312,6658,6309,5920,6412,7013,6433,5607,5136,4576,4336,3708,3905,4119,3557,3526,3110,3164,12.5,64.7,6.8,82.7,9.9,19.9,3.7,23.7,191.5,25.9,42.5,5.2,4.9,53.9,24.4,32,233.9,0.1,,70.1,2.4,8.3,4.8,34.9,18,26347,8.6,5.2,10.6,10,16.2,33.6,26282,28,14299,16319,41.04459327,28165,12245,807,2202,5317,65947.63092,19623,21404
18,Montclaire,0,,0,,12646,13426,780,78,12724,12802,12880,12958,13036,13114,13192,13270,13348,13426,13524,13621,13719,13816,13914,14011,14109,14206,14304,14401,98,924,1287,1036,1006,1004,1063,1018,1099,899,851,781,634,525,588,673,609,606,552,561,7218,9992,7995,7717,7656,8058,7671,8233,6696,6293,5734,4621,3800,4226,4803,4316,4266,3859,3896,17.1,83.5,8.3,77.6,8.8,61.5,8.6,29.9,151,15.4,89.6,6.5,4.6,33.4,21.9,40.3,315.5,0.9,,.,3,12.8,5.8,35,28.4,21257,10.8,8.1,15.3,13.8,23.5,38.6,22014,50,14299,16319,37.62417219,4535,8088,518,448,910,48122.3176,4370,8567
19,Belmont Cragin,0,,0,,78144,78743,599,59.9,78204,78264,78324,78384,78444,78503,78563,78623,78683,78743,78680,78618,78555,78492,78430,78367,78304,78241,78179,78116,-63,6400,8601,8146,8367,7886,8042,8061,8323,7594,6882,6372,5720,4979,4848,4792,4620,4408,4359,3774,8177,10981,10392,10666,10045,10236,10253,10578,9644,8747,8105,7282,6343,6181,6115,5900,5634,5576,4831,20,88.6,6.9,74.1,7.6,68.2,7,14.4,152.6,17.7,58.6,5.5,5.6,37.8,27.3,38.2,421.5,0.8,95.9,140.9,9.4,18.6,10,36.9,37,15246,11.5,10.8,18.7,14.6,37.3,37.3,15461,70,14299,16319,32.89033154,10745,64782,2103,1562,4472,47262.93103,13018,60733
20,Hermosa,0,,0,,26908,25010,-1898,-189.8,26718,26528,26339,26149,25959,25769,25579,25390,25200,25010,24915,24820,24726,24631,24536,24441,24346,24252,24157,24062,-95,2106,3092,2841,2641,2742,2630,2489,2475,2417,2061,2054,1970,1794,1737,1563,1508,1409,1301,1182,7939,11739,10865,10174,10641,10282,9803,9821,9664,8272,8276,7967,7284,7079,6395,6194,5810,5386,4912,20.3,86.7,6.7,77.5,8.8,69.7,12.7,18.4,135.2,15.6,63.6,11.8,9.3,27.7,25.6,27.6,394.7,0.7,154.5,114.3,15.8,19.1,8.4,36.3,41.9,15411,12.9,6.9,20.5,13.1,41.6,36.4,15089,71,9430,9318,32.58101852,2205,20469,753,440,1514,39590.64327,4251,17884
21,Avondale,0,,0,,43083,39262,-3821,-382.1,42701,42319,41937,41555,41173,40790,40408,40026,39644,39262,38962,38661,38361,38060,37760,37459,37159,36858,36558,36257,-301,3607,4805,4829,4358,4170,3887,3950,3877,3745,3376,3279,2677,2373,2263,2295,2358,2348,2147,1813,8523,11458,11621,10585,10223,9619,9869,9780,9538,8665,8481,6978,6235,5993,6127,6346,6370,5873,5000,18.5,77.7,7.3,74.4,7.5,63.4,4.7,16.6,133.9,13.4,52.7,4.6,5.7,32.5,37.7,36,373.3,0.7,85.3,92.2,10.1,14.6,5.8,30.4,25.7,20489,9.3,6,15.3,9.2,24.7,31,20039,42,9430,9318,32.72315789,12843,21491,784,1537,5518,51702.6749,14608,20425
23,Humboldt Park,1,2,0,,65836,56323,-9513,-951.3,64885,63933,62982,62031,61080,60128,59177,58226,57274,56323,56107,55891,55676,55460,55244,55028,54812,54597,54381,54165,-216,11236,15495,14541,14801,13718,13062,13269,12775,11837,11160,11222,10264,9235,8205,8036,8081,8121,8010,6626,17575,24602,23442,24232,22815,22073,22789,22305,21016,19891,20078,18435,16652,14852,14603,14743,14874,14729,12233,19.2,80.7,12.3,70.9,11.7,77.9,29,26.3,211.1,26.6,94.1,22.7,9.8,48,52.5,53.5,447.7,1.3,1234.7,937.5,9.7,32.6,11.2,38.3,36.8,13391,12.3,14.8,33.9,17.3,35.4,38,13781,85,20735,19293,30.24567739,3480,31676,19849,385,3449,35941.35802,25273,26080
30,South Lawndale,0,,0,,91071,79288,-11783,-1178.3,89893,88714,87536,86358,85180,84001,82823,81645,80466,79288,78499,77710,76921,76132,75344,74555,73766,72977,72188,71399,-789,5917,7546,7894,7519,7442,7702,7346,6335,6298,6028,5789,5118,4783,4463,4710,4559,4574,4444,3571,6670,8620,9141,8827,8859,9299,8997,7873,7943,7679,7449,6654,6283,5923,6317,6180,6268,6156,5001,19.5,94.9,7.6,85.1,9.6,77.5,11.1,13.2,127.4,9.2,65,8.6,5.9,15.9,32.7,37.3,605.9,0.8,289.5,106.8,7.9,28.1,17.6,33.1,58.7,10697,11.5,15.2,30.7,15.8,54.8,33.8,10402,96,20735,19293,29.75836288,2856,62512,9101,142,2428,32896.0396,15467,53726
31,Lower West Side,0,,0,,44031,35769,-8262,-826.2,43205,42379,41552,40726,39900,39074,38248,37421,36595,35769,35567,35365,35164,34962,34760,34558,34356,34155,33953,33751,-202,3546,5001,4763,4231,4336,4308,4073,3653,3496,3449,3297,3081,2715,2534,2632,2635,2400,2339,2035,8367,12036,11695,10604,11097,11263,10884,9982,9774,9697,9323,8762,7766,7290,7616,7670,7027,6889,6029,16.5,68.2,4.5,80.8,8.8,49,11.7,27.2,141.3,11.9,61.9,11.7,5.4,27.8,14.3,39.2,589,0.8,92.3,78.7,11.4,27.2,10.4,35.2,44.3,15467,13,9.6,25.8,15.8,40.7,32.6,16444,76,13107,12847,32.12103233,5268,25116,1288,803,4413,42457.55518,8858,22322
32,Loop,0,,0,,16388,29283,12895,1289.5,17678,18967,20257,21546,22836,24125,25415,26704,27994,29283,30585,31886,33188,34489,35791,37092,38394,39695,40997,42298,1302,7292,9571,9307,8953,8731,8716,8735,8069,7840,7610,7780,7792,7295,7601,9039,10636,10891,10597,5100,38446,47248,43196,39206,36191,34295,32710,28824,26773,24881,24399,23478,21152,21237,24369,27702,27437,25848,12057,9.4,27.7,5.3,78.2,6.9,1.3,0.7,20.2,120.1,10.8,26.8,4,5.7,29.2,17.2,39,297.3,0.3,129.9,200.5,6.5,11.1,2,15.5,3.4,67699,4.2,1.5,14.7,5.7,3.1,13.5,65526,3,7352,7839,31.88502016,33559,31793,3657,2347,17246,70338.93986,44040,24113
33,Near South Side,0,,0,,9509,21390,11881,1188.1,10697,11885,13073,14261,15450,16638,17826,19014,20202,21390,22131,22871,23612,24352,25093,25833,26574,27314,28055,28795,741,2745,3984,4357,4701,4435,3649,3866,2270,2000,1770,1865,1816,1783,1885,1950,1951,1886,1866,1604,23096,30475,30552,30427,26656,20470,20332,11237,9350,7998,8154,7691,7322,7512,7548,7342,6905,6651,5570,21.4,72.9,8.8,78.1,10.9,50.9,4.8,31.9,169,19.2,61.5,6.6,4.8,46.2,51.4,52.4,301.3,0.2,300.6,318.7,5,11.1,1.4,21,7.1,60593,5.7,1.3,13.8,4.9,7.4,21.8,59077,7,7352,7839,35.77313054,11063,1247,5537,5098,6737,94151.75613,16616,5782
34,Armour Square,0,,0,,12032,13391,1359,135.9,12168,12304,12440,12576,12712,12847,12983,13119,13255,13391,13441,13491,13541,13591,13641,13690,13740,13790,13840,13890,50,1356,1725,1652,1704,1632,1223,1354,1241,1368,1443,1539,1295,1225,1085,1012,1019,1022,1024,845,11021,13867,13136,13405,12703,9420,10321,9363,10216,10736,11408,9564,9013,7954,7392,7416,7411,7399,6084,11.5,57.1,12.4,79.1,11.8,16.2,1.8,10.7,162.9,23.1,42.5,1.8,1.5,54.3,17.2,38.7,490.3,0.2,222.6,218,22.7,35.8,5.9,37.9,37.5,16942,11.6,5.7,40.1,16.7,34.5,38.3,16148,82,7352,7839,43.83373934,1728,538,1218,9832,1397,26466.21622,3912,8930
36,Oakland,0,,0,,6110,5918,-192,-19.2,6091,6072,6052,6033,6014,5995,5976,5956,5937,5918,6006,6094,6182,6270,6359,6447,6535,6623,6711,6799,88,868,894,904,880,801,944,960,857,861,796,773,714,647,636,702,690,679,637,620,14295,14772,14984,14633,13361,15797,16118,14435,14549,13253,12685,11550,10319,10002,10889,10559,10252,9492,9119,17.5,63.9,13.5,75,11.5,54.5,18.9,20.6,159.7,14.5,88.7,12.6,8.2,54.5,54.2,43.7,435.4,0.3,1655.4,1629.3,6.7,38.1,3.5,40.5,17.6,19312,26.6,1.3,39.7,28.7,18.4,40.4,19252,78,14443,19067,38.07810107,9886,800,151,981,2372,49294.87179,4316,7397
41,Hyde Park,0,,0,,29920,25681,-4239,-423.9,29496,29072,28648,28224,27801,27377,26953,26529,26105,25681,26059,26436,26814,27191,27569,27946,28324,28701,29079,29456,378,2559,3308,3248,3286,2681,2601,2245,2102,2238,2162,1923,1672,1422,1522,1765,1728,1970,1726,1466,8802,11547,11508,11820,9793,9650,8462,8052,8715,8297,7274,6236,5230,5521,6316,6101,6864,5936,4977,9.7,33.9,5.9,80.3,5.5,7.6,5.8,33.6,144,11.7,34,5,10.4,34.9,24.1,26,369,0,216.6,168.4,5.3,18.2,2.5,26.7,5.3,39243,6.9,1.5,18.4,8.4,4.3,26.2,39056,14,14443,19067,31.20274527,12453,2246,7366,3559,4301,52627.11864,18922,6846
43,South Shore,0,,0,,61556,49767,-11789,-1178.9,60377,59198,58019,56840,55662,54483,53304,52125,50946,49767,50187,50608,51028,51449,51869,52289,52710,53130,53551,53971,420,10836,14630,14375,14429,14837,14276,14256,13071,12325,12094,11620,10603,9298,9122,8217,8706,8705,8669,7804,18305,25216,25290,25923,27232,26782,27350,25657,24765,24098,22961,20779,18072,17587,15715,16517,16384,16188,14460,15.7,67.9,13.8,71.9,13.4,65.9,33.4,32.4,246,25.1,95.4,30,11.4,70,54.8,53.2,470.3,1.1,1718.6,1357.1,11.7,31.5,2.9,37.6,14.9,18366,17.7,2.8,31.1,20,14,35.7,19398,55,14443,19067,37.85884811,1459,660,47315,270,4890,24344.64405,44200,2564
44,Chatham,0,,0,,37275,31028,-6247,-624.7,36650,36026,35401,34776,34152,33527,32902,32277,31653,31028,31096,31164,31233,31301,31369,31437,31505,31574,31642,31710,68,6684,9370,9465,9654,9109,9643,9248,8351,7514,7305,7251,7165,6279,6061,6268,6417,6546,6798,5441,18553,26468,27217,28268,27169,29308,28652,26383,24217,23492,23267,22940,20060,19322,19938,20368,20732,21484,17159,14.4,71.3,15.4,72.5,15.6,68.2,45.2,41.9,213.5,24.1,73.2,37.9,10.9,51.5,47.9,50.3,418.3,0.5,1896.3,1855.8,8.2,25.3,2.2,40,13.7,20320,19,3.3,27.8,24,14.5,40.3,18881,60,8048,10582,39.55257009,509,385,29829,111,3084,32596.80135,27607,1173
45,Avalon Park,0,,0,,11147,10185,-962,-96.2,11051,10955,10858,10762,10666,10570,10474,10377,10281,10185,10112,10040,9967,9894,9822,9749,9676,9603,9531,9458,-73,1639,2298,2393,2384,2317,2257,2333,2017,1832,1960,1806,1643,1503,1392,1316,1288,1167,1302,1201,14961,21164,22236,22351,21921,21549,22482,19619,17987,19383,17988,16484,15191,14172,13499,13311,12152,13661,12698,13.3,69.6,19.7,74.5,14.6,63.9,22.1,33.8,239.6,27.7,83.9,18.5,11.4,57.9,45.1,44.5,434.8,0.6,1139.9,2059.9,1.9,16.7,0.6,41.9,13.3,23495,16.6,1.4,17.2,21.1,10.6,39.3,24454,41,8048,10582,44.07438017,61,66,9705,38,1128,41394.23077,8954,263
46,South Chicago,0,,0,,38596,31198,-7398,-739.8,37856,37116,36377,35637,34897,34157,33417,32678,31938,31198,30808,30418,30029,29639,29249,28859,28469,28080,27690,27300,-390,6040,8380,8882,8288,8967,8843,8021,7600,6786,6769,6550,5839,5252,5095,4802,4591,4338,4255,3385,16273,23037,24924,23750,26252,26463,24546,23796,21751,21972,21533,19445,17720,17419,16640,16126,15449,15367,12399,18.1,82.2,13,75.3,15.1,76.8,36.9,31.9,227.3,21.1,86.9,33.7,17.7,50.9,56.3,50.6,493.4,1.6,1774.7,893.5,6.9,28,5.9,43.1,28.2,15393,17.7,4.7,29.8,19.7,26.6,41.1,16579,75,7927,9232,35.43152866,791,5885,21317,15,1672,29580.68615,20937,5114
47,Burnside,0,,0,,3294,2916,-378,-37.8,3256,3218,3181,3143,3105,3067,3029,2992,2954,2916,2877,2838,2799,2760,2722,2683,2644,2605,2566,2527,-39,470,682,735,715,668,735,744,610,460,457,536,471,403,389,400,374,388,375,346,14605,21440,23385,23027,21780,24265,24866,20650,15775,15885,18887,16827,14601,14291,14909,14145,14894,14614,13692,12.9,64,7.9,68.4,13.2,68.7,70.3,7.6,191.2,32.8,86.1,70.3,13,69.5,44,99.1,375,3.6,3108.8,1574.8,6.8,22.5,5.5,40.4,18.6,13756,23.4,6.8,33,18.6,19.3,42.7,12515,79,8048,10582,46.04166667,10,33,2197,0,123,24940.94488,2110,128
50,Pullman,0,,0,,8921,7325,-1596,-159.6,8761,8602,8442,8283,8123,7963,7804,7644,7485,7325,7275,7224,7174,7123,7073,7022,6972,6921,6871,6820,-50,1359,2010,1920,1820,1691,1953,1702,1488,1377,1192,1266,1151,1222,1049,1213,1099,1210,1162,923,15799,23810,23180,22406,21236,25026,22266,19880,18799,16385,17525,16044,17156,14831,17274,15763,17483,16912,13534,14.3,66.5,11.2,81.3,12.1,67.9,32.2,34.6,262.5,28.1,78.5,32.1,13.6,83.8,92.9,65.3,398.5,3.7,829.1,1480.4,2.7,20.1,1.4,42,15.6,19007,21,1.5,21.6,22.8,13.1,38.6,20588,51,7927,9232,40.97960993,680,307,5495,10,902,40662.05534,5742,441
51,South Deering,0,,0,,16990,15109,-1881,-188.1,16802,16614,16426,16238,16050,15861,15673,15485,15297,15109,15009,14908,14808,14707,14607,14507,14406,14306,14205,14105,-100,2129,2876,2636,2524,2574,2741,2695,2578,2625,2512,2294,2187,2257,1928,1890,1757,1755,1851,1633,12814,17509,16234,15726,16228,17489,17404,16853,17374,16737,15388,14769,15346,13199,13028,12196,12268,13031,11577,15.8,76.7,14.9,76.9,15.7,65.3,41.3,25.3,224,32.5,80.6,35.1,11.8,59.2,48.7,54.9,427.1,0.3,907,1018.2,2.6,24.5,6,41.4,21.9,15506,11.8,4,29.2,16.3,21,39.5,14685,65,7927,9232,38.47342398,600,4591,9360,1,665,34093.75,10133,3759
52,East Side,0,,0,,23653,23042,-611,-61.1,23592,23531,23470,23409,23348,23286,23225,23164,23103,23042,22910,22778,22647,22515,22383,22251,22119,21988,21856,21724,-132,1720,2557,2408,2292,2203,2100,2173,2094,1856,1872,1746,1503,1391,1321,1334,1219,1107,1003,952,7310,10895,10287,9817,9461,9042,9381,9064,8055,8171,7665,6637,6178,5902,5995,5511,5035,4589,4382,17.7,85.8,6.4,73.3,11,53,10.7,15.3,182.9,12.9,73.9,10.1,3.7,45.9,26.2,33.3,398.5,0.9,191.2,98.6,5.2,18.7,8.3,42.5,35.5,15347,14.5,6.8,19.2,12.1,31.9,42.8,17104,64,7927,9232,31.92320261,3841,19092,695,65,1356,43224.40087,6274,15868
54,Riverdale,0,,0,,9809,6482,-3327,-332.7,9476,9144,8811,8478,8146,7813,7480,7147,6815,6482,6560,6638,6716,6794,6872,6950,7028,7106,7184,7262,78,1995,2346,2258,2008,1619,1529,1398,1402,1396,1532,1588,1494,1387,1190,1278,1357,1363,1396,1063,21818,26626,26634,24650,20722,20441,19561,20572,21537,23354,23923,22245,20415,17317,18388,19308,19181,19432,14638,12.5,46.1,15.3,74.1,16.5,64.5,33,25,258.3,39.4,115.9,32.8,8.7,86.1,42.5,80.6,,,1699.7,1397.9,5.8,61.4,5.1,50.2,24.6,8535,26.4,5.8,56.5,34.6,27.5,51.5,8201,98,7927,9232,21.65656566,151,306,6882,23,69,13344.7099,6099,275
55,Hegewisch,0,,0,,9781,9426,-355,-35.5,9746,9710,9675,9639,9604,9568,9533,9497,9462,9426,9486,9546,9606,9666,9727,9787,9847,9907,9967,10027,60,722,1066,1003,928,965,859,971,819,769,822,741,718,627,516,586,674,624,496,506,7436,11018,10406,9663,10086,9011,10224,8656,8158,8665,7762,7474,6487,5305,5988,6845,6299,4976,5046,13.7,73.2,7.7,66.9,13.1,47.1,6.9,20,210,16.7,80,13.4,8.4,57.9,28.6,47.1,298.8,1.1,,.,2.1,12.1,4.4,41.6,17.9,22561,9.6,3.3,17.1,9.6,19.2,42.9,22677,44,13251,12782,40.52204176,3654,5405,341,0,705,55429.6875,5066,3767
56,Garfield Ridge,0,,0,,36101,34513,-1588,-158.8,35942,35783,35625,35466,35307,35148,34989,34831,34672,34513,34606,34698,34791,34883,34976,35069,35161,35254,35346,35439,93,3620,4467,4522,4107,4214,3992,3659,3278,2591,2558,2469,2113,1934,1859,2112,1926,2100,1863,1556,10117,12539,12750,11632,11989,11409,10505,9454,7507,7392,7116,6073,5544,5315,6022,5478,5957,5271,4391,13.4,69,8,81.7,9.5,33.7,9.9,31,231.9,24.6,80.3,9.2,4.5,59.2,30.9,42.2,354.9,0.1,180,101.8,3.5,9,2.6,39.5,19.4,24684,8.1,2.6,8.8,11.3,19.3,38.1,26353,32,13251,12782,38.68334551,16263,17848,1602,360,3554,68211.92053,18015,16139
57,Archer Heights,0,,0,,12644,13393,749,74.9,12719,12794,12869,12944,13019,13093,13168,13243,13318,13393,13473,13554,13634,13714,13795,13875,13955,14035,14116,14196,80,1164,1632,1619,1614,1648,1731,1586,1651,1357,1286,1196,1203,1057,1001,881,850,826,809,691,9098,12682,12508,12397,12587,13146,11976,12397,10132,9545,8824,8824,7707,7256,6350,6091,5885,5731,4868,18.1,80,8.7,74.3,10,50.3,16.6,25.2,166.3,9,67.7,15.4,5.2,49.6,20.5,41.8,543.5,0.5,,.,1.5,13,8.5,40.5,36.4,16145,14.2,8.5,14.1,16.5,35.9,39.2,16134,67,13251,12782,33.3543923,2213,10181,115,581,762,46632.12435,2211,10009
58,Brighton Park,0,,0,,44912,45368,456,45.6,44958,45003,45049,45094,45140,45186,45231,45277,45322,45368,45337,45305,45274,45242,45211,45179,45148,45116,45085,45053,-31,3380,4888,4724,4441,4651,4215,4180,3893,3537,3715,3195,2905,2918,2763,2635,2227,2197,2218,1779,7511,10850,10476,9838,10293,9319,9232,8590,7796,8194,7052,6416,6450,6111,5832,4933,4870,4920,3949,20.6,90.6,7.2,82.7,8.3,58.1,11.1,26.8,139.1,12.8,69.7,10.6,5.9,27.7,15.1,38.3,580.4,0.9,97.2,52.7,11.5,23,13.2,39.8,48.2,13138,11.2,14.4,23.6,13.9,45.1,39.3,13089,84,11839,11149,31.24095212,3160,37301,433,3623,1933,40513.36898,6207,35376
59,McKinley Park,0,,0,,15962,15612,-350,-35,15927,15892,15857,15822,15787,15752,15717,15682,15647,15612,15643,15674,15705,15736,15768,15799,15830,15861,15892,15923,31,1590,2084,2080,1908,2004,1789,1795,1759,1485,1430,1340,1279,1058,1084,1043,1052,913,826,751,10005,13142,13146,12086,12722,11383,11446,11242,9512,9141,8549,8144,6723,6875,6602,6646,5756,5198,4716,16.7,73.9,7.3,80.5,9.9,47.9,5.1,32.7,148.4,14.2,61.4,6.5,7.3,38.3,0,51.7,529.6,0.8,141.4,.,11.5,16.1,6.9,33.7,31.8,17577,11.9,7.2,18.7,13.4,32.9,35.6,16954,61,11839,11149,34.02918288,2667,9550,164,3106,1423,44904.21456,4325,10373
60,Bridgeport,0,,0,,33694,31977,-1717,-171.7,33522,33351,33179,33007,32836,32664,32492,32320,32149,31977,32150,32322,32495,32667,32840,33012,33185,33357,33530,33702,172,2422,3243,3127,3131,2975,2609,2659,2543,2448,2330,2167,1895,1803,1619,1697,1525,1524,1451,1298,7262,9774,9474,9535,9108,8030,8227,7910,7656,7247,6704,5832,5519,4930,5141,4595,4569,4327,3851,11.7,51.7,8,80.3,11.4,28.4,4.9,16.5,168.9,16.1,49.8,4.5,8,54.4,15.8,40.1,384.9,0.7,110.8,65,9.9,17.3,4.8,32.3,25.6,24969,11.2,4.5,18.9,13.7,22.2,31.3,22694,43,11839,11149,37.02781371,11315,8061,848,13135,4907,45670.73171,14647,17156
61,New City,0,,0,,51721,44377,-7344,-734.4,50987,50252,49518,48783,48049,47315,46580,45846,45111,44377,44302,44227,44152,44077,44003,43928,43853,43778,43703,43628,-75,7814,10822,10119,9648,10066,9727,8976,8203,7745,7734,6828,6007,5280,5012,4945,4659,4277,4257,3574,15550,21855,20743,20080,21274,20882,19579,18184,17453,17457,15439,13605,11979,11390,11257,10624,9770,9741,8192,21.4,93.4,11.8,75.9,12.2,94.3,26.6,23.6,235.2,29.2,83.7,24.6,7.9,69.4,40.7,50.2,555,0.8,1052.6,579.7,9.3,30.6,12.2,42,42.4,12524,17.4,11.9,29,23,41.5,38.9,12765,91,11839,11149,31.15403956,4858,24525,8838,1031,1250,32861.79922,15401,20867
62,West Elsdon,0,,0,,15921,18109,2188,218.8,16140,16359,16577,16796,17015,17234,17453,17671,17890,18109,18138,18166,18195,18223,18252,18280,18309,18337,18366,18394,29,1359,1797,1714,1621,1745,1684,1727,1624,1395,1490,1369,1298,1016,1037,1100,1022,1019,902,721,8307,10840,10205,9527,10125,9649,9773,9078,7703,8215,7536,7134,5575,5682,6018,5582,5557,4911,3920,20.8,92.3,4.6,81.2,7.5,45.5,5.9,12.1,180.6,11.5,68.5,7.7,8.1,57.8,44.7,42.6,492.6,0.2,122,115.9,4.5,9.8,8.7,38.7,39.6,16938,13.5,11.1,15.6,16.7,37,37.7,15754,69,13251,12782,31.0600304,2727,15840,266,380,902,54849.39759,3217,14918
63,Gage Park,0,,0,,39193,39894,701,70.1,39263,39333,39403,39473,39544,39614,39684,39754,39824,39894,39859,39823,39788,39752,39717,39682,39646,39611,39575,39540,-35,3090,4273,3901,4329,4104,3918,3973,3949,3950,3744,3247,2835,2633,2371,2367,2311,2076,2159,1716,7856,10844,9883,10947,10360,9873,9994,9916,9901,9393,8154,7125,6624,5970,5965,5829,5241,5455,4340,21.8,93.2,6.8,80.4,6.8,61.4,10.8,23.4,171,13.6,65,11.1,5.4,34.1,41.1,51.2,590.3,0.8,171.6,149.2,7,20.8,17.4,40.4,54.1,12014,14,15.8,23.4,18.2,51.5,38.8,12171,93,13251,12782,28.50899918,1532,37659,1448,193,953,41138.39286,5000,32479
