GEO_ID,NAME,DP05_0002E,DP05_0002M,DP05_0002PE,DP05_0002PM,DP05_0003E,DP05_0003M,DP05_0003PE,DP05_0003PM,DP05_0007E,DP05_0007M,DP05_0007PE,DP05_0007PM,DP05_0008E,DP05_0008M,DP05_0008PE,DP05_0008PM
id,Geographic Area Name,Estimate!!SEX AND AGE!!Total population!!Male,Margin of Error!!SEX AND AGE!!Total population!!Male,Percent!!SEX AND AGE!!Total population!!Male,Percent Margin of Error!!SEX AND AGE!!Total population!!Male,Estimate!!SEX AND AGE!!Total population!!Female,Margin of Error!!SEX AND AGE!!Total population!!Female,Percent!!SEX AND AGE!!Total population!!Female,Percent Margin of Error!!SEX AND AGE!!Total population!!Female,Estimate!!SEX AND AGE!!15 to 19 years,Margin of Error!!SEX AND AGE!!15 to 19 years,Percent!!SEX AND AGE!!15 to 19 years,Percent Margin of Error!!SEX AND AGE!!15 to 19 years,Estimate!!SEX AND AGE!!20 to 24 years,Margin of Error!!SEX AND AGE!!20 to 24 years,Percent!!SEX AND AGE!!20 to 24 years,Percent Margin of Error!!SEX AND AGE!!20 to 24 years
7950000US1703501,"Chicago City (North)--Edgewater, Uptown & Rogers Park PUMA; Illinois",86865,6308,51.7,2.1,81164,6032,48.3,2.1,6109,1741,3.6,1,13851,2303,8.2,1.2
7950000US1703502,"Chicago City (North)--Lake View & Lincoln Park PUMA, Illinois",81253,4492,50,1.8,81145,4229,50,1.8,4633,1157,2.9,0.7,17699,2629,10.9,1.5
7950000US1703503,"Chicago City (North)--West Ridge, Lincoln Square & North Center PUMA; Illinois",76405,5182,49.6,1.5,77512,5284,50.4,1.5,5798,1218,3.8,0.7,8780,1639,5.7,1
7950000US1703504,"Chicago City (Northwest)--Irving Park, Albany Park, Forest Glen & North Park PUMA; Illinois",69126,5665,49.9,1.9,69413,4580,50.1,1.9,7445,1423,5.4,0.9,10000,1705,7.2,1.1
7950000US1703520,"Chicago City (Northwest)--Portage Park, Dunning & Jefferson Park PUMA; Illinois",67482,4944,50.2,1.7,67000,3853,49.8,1.7,5901,1245,4.4,0.9,6296,1272,4.7,0.9
7950000US1703521,"Chicago City (West)--Austin, Belmont Cragin & Montclare PUMA; Illinois",85823,5918,47.1,1.6,96340,6228,52.9,1.6,11406,1853,6.3,1,13248,2471,7.3,1.2
7950000US1703522,"Chicago City (Northwest)--Logan Square, Avondale & Hermosa PUMA; Illinois",68133,4708,50.5,1.8,66837,4856,49.5,1.8,6084,1309,4.5,0.9,10380,1925,7.7,1.3
7950000US1703523,"Chicago City (West)--North & South Lawndale, Humboldt Park, East & West Garfield Park PUMA; Illinois",103678,6156,50.4,1.2,101927,6349,49.6,1.2,17936,1905,8.7,0.8,17671,2483,8.6,1
7950000US1703524,"Chicago City (West)--West Town, Near West Side & Lower West Side PUMA; Illinois",94906,5941,50,1.5,94894,4787,50,1.5,7991,1717,4.2,0.8,18276,2264,9.6,1.2
7950000US1703525,"Chicago City (Central)--Near North Side, Loop & Near South Side PUMA; Illinois",65488,4372,46.1,1.9,76542,4500,53.9,1.9,7046,2710,5,1.9,11610,2195,8.2,1.6
7950000US1703526,"Chicago City (Southwest)--Brighton Park, New City, Bridgeport & McKinley Park PUMA; Illinois",84408,5374,50.3,1.5,83359,5261,49.7,1.5,10791,1764,6.4,1,13386,2774,8,1.5
7950000US1703527,"Chicago City (Southwest)--Gage Park, Garfield Ridge & West Lawn PUMA; Illinois",77929,5515,49.4,1.7,79699,5494,50.6,1.7,13472,1780,8.5,1.1,12857,2382,8.2,1.4
7950000US1703528,"Chicago City (South)--Chicago Lawn, Englewood/West Englewood & Greater Grand Crossing PUMA; Illinois",66764,4727,47.5,1.8,73652,5361,52.5,1.8,10615,1698,7.6,1.1,11081,1963,7.9,1.3
7950000US1703529,"Chicago City (South)--South Shore, Hyde Park, Woodlawn, Grand Boulevard & Douglas PUMA; Illinois",82861,5605,43.5,1.6,107768,6054,56.5,1.6,16405,2206,8.6,1,19242,2369,10.1,1.2
7950000US1703530,"Chicago City (South)--Ashburn, Washington Heights, Morgan Park & Beverly PUMA; Illinois",59354,4478,46.5,1.7,68162,5217,53.5,1.7,9803,1992,7.7,1.4,9424,1917,7.4,1.2
7950000US1703531,"Chicago City (South)--Auburn Gresham, Roseland, Chatham, Avalon Park & Burnside PUMA; Illinois",56813,5339,43.9,2.1,72484,5989,56.1,2.1,8034,1577,6.2,1.2,9379,2069,7.3,1.4
7950000US1703532,"Chicago City (South)--South Chicago, Pullman, West Pullman, East Side & South Deering PUMA; Illinois",62273,5715,46.8,2.1,70911,5241,53.2,2.1,11599,1903,8.7,1.3,10065,2128,7.6,1.4
