Community Area,Community Area Name,Treatment,First_treatment,2000_POP,2010_POP,POP_CHANGE,Per_Year_Change,Pop_2001,Pop_2002,Pop_2003,Pop_2004,Pop_2005,Pop_2006,Pop_2007,Pop_2008,Pop_2009,Pop_2010,Pop_2011,Pop_2012,Pop_2013,Pop_2014,Pop_2015,Pop_2016,Pop_2017,Pop_2018,Pop_2019,Pop_2020,2020_2010_Diff,Birth Rate,General Fertility Rate,Low Birth Weight,Prenatal Care Beginning in First Trimester,Preterm Births,Teen Birth Rate,Assault (Homicide),Breast cancer in females,Cancer (All Sites),Colorectal Cancer,Diabetes-related,Firearm-related,Infant Mortality Rate,Lung Cancer,Prostate Cancer in Males,Stroke (Cerebrovascular Disease),Childhood Blood Lead Level Screening,Childhood Lead Poisoning,Gonorrhea in Females,Gonorrhea in Males,Tuberculosis,Below Poverty Level,Crowded Housing,Dependency,No High School Diploma,Per Capita Income,Unemployment,Crime_2002,Crime_2003,Crime_2004,Crime_2005,Crime_2006,Crime_2007,Crime_2008,Crime_2009,Crime_2010,Crime_2011,Crime_2012,Crime_2013,Crime_2014,Crime_2015,Crime_2016,Crime_2017,Crime_2018,Crime_2019,Crime_2020,Crime_2021,PERCENT OF HOUSING CROWDED,PERCENT HOUSEHOLDS BELOW POVERTY,PERCENT AGED 16+ UNEMPLOYED,PERCENT AGED 25+ WITHOUT HIGH SCHOOL DIPLOMA,PERCENT AGED UNDER 18 OR OVER 64,PER CAPITA INCOME ,HARDSHIP INDEX,2002_cr_per_100k,2003_cr_per_100k,2004_cr_per_100k,2005_cr_per_100k,2006_cr_per_100k,2007_cr_per_100k,2008_cr_per_100k,2009_cr_per_100k,2010_cr_per_100k,2011_cr_per_100k,2012_cr_per_100k,2013_cr_per_100k,2014_cr_per_100k,2015_cr_per_100k,2016_cr_per_100k,2017_cr_per_100k,2018_cr_per_100k,2019_cr_per_100k,2020_cr_per_100k
23,Humboldt Park,,,65836,56323,-9513,-951.3,64885,63933,62982,62031,61080,60128,59177,58226,57274,56323,56107,55891,55676,55460,55244,55028,54812,54597,54381,54165,-216,19.2,80.7,12.3,70.9,11.7,77.9,29,26.3,211.1,26.6,94.1,22.7,9.8,48,52.5,53.5,447.7,1.3,1234.7,937.5,9.7,32.6,11.2,38.3,36.8,13391,12.3,,,,,,,,,,,,,,,,,,,,,14.8,33.9,17.3,35.4,38,13781,85,,,,,,,,,,,,,,,,,,,
24,West Town,,,87435,81432,-6003,-600.3,86835,86234,85634,85034,84434,83833,83233,82633,82032,81432,82067,82702,83337,83972,84607,85241,85876,86511,87146,87781,635,18.8,60.4,9.1,75.5,10.8,49.2,8.5,14.5,139.6,12.4,107,6.6,5.1,27.4,16.6,33.3,316.6,0.5,177.5,182.8,3.6,15.7,2,22.9,13.4,39596,6,,,,,,,,,,,,,,,,,,,,,2.3,14.7,6.6,12.9,21.7,43198,10,,,,,,,,,,,,,,,,,,,
25,Austin,,,117527,98514,-19013,-1901.3,115626,113724,111823,109922,108021,106119,104218,102317,100415,98514,98318,98123,97927,97731,97536,97340,97144,96948,96753,96557,-196,18,80.1,15.4,72.9,14.3,81.8,34.4,33.7,261.9,29.8,113.9,28.5,13.3,74.6,69.8,56.8,492.3,2,1741.1,1678.9,5.8,27,5.7,39,25,15920,21,,,,,,,,,,,,,,,,,,,,,6.3,28.6,22.6,24.4,37.9,15957,73,,,,,,,,,,,,,,,,,,,
26,West Garfield Park,,,23019,18001,-5018,-501.8,22517,22015,21514,21012,20510,20008,19506,19005,18503,18001,17944,17887,17831,17774,17717,17660,17603,17547,17490,17433,-57,20.1,88.4,17,71.4,17.5,114.9,40,54.7,291.5,31.4,118.2,36,19,65.3,75,77,516.1,1.4,3193.3,2336.7,6.5,40.3,8.9,42.5,26.2,10951,25.2,,,,,,,,,,,,,,,,,,,,,9.4,41.7,25.8,24.5,43.6,10934,92,,,,,,,,,,,,,,,,,,,
27,East Garfield Park,,,20881,20567,-314,-31.4,20850,20818,20787,20755,20724,20693,20661,20630,20598,20567,20510,20452,20395,20337,20280,20222,20165,20107,20050,19992,-57,19.4,80.8,17.5,73.2,16.3,93.2,38.4,21.7,236.8,24.8,97.3,37.1,11,56.3,78.1,47.5,503.7,0.9,2325.1,1730.2,13.6,39.7,7.5,43.2,26.2,13596,16.4,,,,,,,,,,,,,,,,,,,,,8.2,42.4,19.6,21.3,43.2,12961,83,,,,,,,,,,,,,,,,,,,
28,Near West Side,,,46419,54881,8462,846.2,47265,48111,48958,49804,50650,51496,52342,53189,54035,54881,56181,57481,58781,60081,61381,62681,63981,65281,66581,67881,1300,18.2,55.6,9,77.6,10.5,36.7,12.7,33.4,202,19.2,62.3,9.3,9.1,66.2,33.6,43.5,396.7,0.5,629.2,466.5,14.1,21.6,3.8,22.9,11.2,41488,10.7,,,,,,,,,,,,,,,,,,,,,3.8,20.6,10.7,9.6,22.2,44689,15,,,,,,,,,,,,,,,,,,,
29,North Lawndale,,,41768,35912,-5856,-585.6,41182,40597,40011,39426,38840,38254,37669,37083,36498,35912,35800,35688,35577,35465,35353,35241,35129,35018,34906,34794,-112,20.6,86.3,15.3,75.8,15.2,108.9,46.7,45.8,261.5,34.8,99.2,37.6,14.1,61.7,54,70.2,565.7,1.4,2529.9,2236.3,9.3,38.6,7.2,40.9,30.4,12548,18.5,,,,,,,,,,,,,,,,,,,,,7.4,43.1,21.2,27.6,42.7,12034,87,,,,,,,,,,,,,,,,,,,
30,South Lawndale,,,91071,79288,-11783,-1178.3,89893,88714,87536,86358,85180,84001,82823,81645,80466,79288,78499,77710,76921,76132,75344,74555,73766,72977,72188,71399,-789,19.5,94.9,7.6,85.1,9.6,77.5,11.1,13.2,127.4,9.2,65,8.6,5.9,15.9,32.7,37.3,605.9,0.8,289.5,106.8,7.9,28.1,17.6,33.1,58.7,10697,11.5,,,,,,,,,,,,,,,,,,,,,15.2,30.7,15.8,54.8,33.8,10402,96,,,,,,,,,,,,,,,,,,,
31,Lower West Side,,,44031,35769,-8262,-826.2,43205,42379,41552,40726,39900,39074,38248,37421,36595,35769,35567,35365,35164,34962,34760,34558,34356,34155,33953,33751,-202,16.5,68.2,4.5,80.8,8.8,49,11.7,27.2,141.3,11.9,61.9,11.7,5.4,27.8,14.3,39.2,589,0.8,92.3,78.7,11.4,27.2,10.4,35.2,44.3,15467,13,,,,,,,,,,,,,,,,,,,,,9.6,25.8,15.8,40.7,32.6,16444,76,,,,,,,,,,,,,,,,,,,
32,Loop,,,16388,29283,12895,1289.5,17678,18967,20257,21546,22836,24125,25415,26704,27994,29283,30585,31886,33188,34489,35791,37092,38394,39695,40997,42298,1302,9.4,27.7,5.3,78.2,6.9,1.3,0.7,20.2,120.1,10.8,26.8,4,5.7,29.2,17.2,39,297.3,0.3,129.9,200.5,6.5,11.1,2,15.5,3.4,67699,4.2,,,,,,,,,,,,,,,,,,,,,1.5,14.7,5.7,3.1,13.5,65526,3,,,,,,,,,,,,,,,,,,,
33,Near South Side,,,9509,21390,11881,1188.1,10697,11885,13073,14261,15450,16638,17826,19014,20202,21390,22131,22871,23612,24352,25093,25833,26574,27314,28055,28795,741,21.4,72.9,8.8,78.1,10.9,50.9,4.8,31.9,169,19.2,61.5,6.6,4.8,46.2,51.4,52.4,301.3,0.2,300.6,318.7,5,11.1,1.4,21,7.1,60593,5.7,,,,,,,,,,,,,,,,,,,,,1.3,13.8,4.9,7.4,21.8,59077,7,,,,,,,,,,,,,,,,,,,
