GEO_ID,NAME,DP05_0002E,DP05_0002M,DP05_0002PE,DP05_0002PM,DP05_0003E,DP05_0003M,DP05_0003PE,DP05_0003PM,DP05_0007E,DP05_0007M,DP05_0007PE,DP05_0007PM,DP05_0008E,DP05_0008M,DP05_0008PE,DP05_0008PM
id,Geographic Area Name,Estimate!!SEX AND AGE!!Total population!!Male,Margin of Error!!SEX AND AGE!!Total population!!Male,Percent!!SEX AND AGE!!Total population!!Male,Percent Margin of Error!!SEX AND AGE!!Total population!!Male,Estimate!!SEX AND AGE!!Total population!!Female,Margin of Error!!SEX AND AGE!!Total population!!Female,Percent!!SEX AND AGE!!Total population!!Female,Percent Margin of Error!!SEX AND AGE!!Total population!!Female,Estimate!!SEX AND AGE!!15 to 19 years,Margin of Error!!SEX AND AGE!!15 to 19 years,Percent!!SEX AND AGE!!15 to 19 years,Percent Margin of Error!!SEX AND AGE!!15 to 19 years,Estimate!!SEX AND AGE!!20 to 24 years,Margin of Error!!SEX AND AGE!!20 to 24 years,Percent!!SEX AND AGE!!20 to 24 years,Percent Margin of Error!!SEX AND AGE!!20 to 24 years
7950000US1703501,"Chicago City (North)--Edgewater, Uptown & Rogers Park PUMA; Illinois",84496,4599,49.5,2,86225,6654,50.5,2,7771,1700,4.6,1,13199,2231,7.7,1.2
7950000US1703502,"Chicago City (North)--Lake View & Lincoln Park PUMA, Illinois",77882,4175,48.4,1.7,82984,4109,51.6,1.7,4787,1227,3,0.7,20237,2770,12.6,1.6
7950000US1703503,"Chicago City (North)--West Ridge, Lincoln Square & North Center PUMA; Illinois",74757,6297,48.5,1.9,79351,5502,51.5,1.9,6642,1976,4.3,1.2,9524,1955,6.2,1.2
7950000US1703504,"Chicago City (Northwest)--Irving Park, Albany Park, Forest Glen & North Park PUMA; Illinois",73836,4215,49.9,1.5,74138,4394,50.1,1.5,7599,1060,5.1,0.7,9986,1745,6.7,1.1
7950000US1703520,"Chicago City (Northwest)--Portage Park, Dunning & Jefferson Park PUMA; Illinois",60125,4181,48,1.7,65145,4029,52,1.7,7345,1493,5.9,1.2,7755,1684,6.2,1.2
7950000US1703521,"Chicago City (West)--Austin, Belmont Cragin & Montclare PUMA; Illinois",88777,5421,49.1,1.6,91967,5838,50.9,1.6,13121,2506,7.3,1.2,12910,2250,7.1,1.1
7950000US1703522,"Chicago City (Northwest)--Logan Square, Avondale & Hermosa PUMA; Illinois",70060,4735,51.4,1.6,66160,4625,48.6,1.6,7978,1547,5.9,1,8174,1643,6,1.1
7950000US1703523,"Chicago City (West)--North & South Lawndale, Humboldt Park, East & West Garfield Park PUMA; Illinois",104951,6415,50.1,1.5,104451,6621,49.9,1.5,13972,2031,6.7,0.9,20093,2595,9.6,1.1
7950000US1703524,"Chicago City (West)--West Town, Near West Side & Lower West Side PUMA; Illinois",87854,4892,50.7,1.5,85341,5034,49.3,1.5,7352,1570,4.2,0.8,14502,2322,8.4,1.3
7950000US1703525,"Chicago City (Central)--Near North Side, Loop & Near South Side PUMA; Illinois",66740,5477,45.8,2.2,79042,5469,54.2,2.2,4757,1552,3.3,1.1,9761,2115,6.7,1.4
7950000US1703526,"Chicago City (Southwest)--Brighton Park, New City, Bridgeport & McKinley Park PUMA; Illinois",83203,5698,51.3,1.8,79144,5378,48.7,1.8,10775,1832,6.6,1,12636,1966,7.8,1.1
7950000US1703527,"Chicago City (Southwest)--Gage Park, Garfield Ridge & West Lawn PUMA; Illinois",80420,5911,50.9,1.7,77726,5428,49.1,1.7,12399,2305,7.8,1.3,11355,1978,7.2,1.2
7950000US1703528,"Chicago City (South)--Chicago Lawn, Englewood/West Englewood & Greater Grand Crossing PUMA; Illinois",61545,5030,44.7,1.6,76122,5755,55.3,1.6,10052,1719,7.3,1.1,9775,1865,7.1,1.2
7950000US1703529,"Chicago City (South)--South Shore, Hyde Park, Woodlawn, Grand Boulevard & Douglas PUMA; Illinois",75824,4844,42.3,1.6,103266,6779,57.7,1.6,11457,2078,6.4,1.1,17654,2838,9.9,1.5
7950000US1703530,"Chicago City (South)--Ashburn, Washington Heights, Morgan Park & Beverly PUMA; Illinois",66063,5724,48.4,2,70307,5383,51.6,2,9793,1854,7.2,1.1,8165,1873,6,1.3
7950000US1703531,"Chicago City (South)--Auburn Gresham, Roseland, Chatham, Avalon Park & Burnside PUMA; Illinois",62639,5325,48.4,1.9,66890,4403,51.6,1.9,8824,1970,6.8,1.4,9496,1958,7.3,1.3
7950000US1703532,"Chicago City (South)--South Chicago, Pullman, West Pullman, East Side & South Deering PUMA; Illinois",61417,5905,46.9,2,69653,5496,53.1,2,11439,2195,8.7,1.4,9875,1997,7.5,1.2
