GEO_ID,NAME,DP05_0002E,DP05_0002M,DP05_0002PE,DP05_0002PM,DP05_0003E,DP05_0003M,DP05_0003PE,DP05_0003PM,DP05_0007E,DP05_0007M,DP05_0007PE,DP05_0007PM,DP05_0008E,DP05_0008M,DP05_0008PE,DP05_0008PM
id,Geographic Area Name,Estimate!!SEX AND AGE!!Total population!!Male,Margin of Error!!SEX AND AGE!!Total population!!Male,Percent!!SEX AND AGE!!Total population!!Male,Percent Margin of Error!!SEX AND AGE!!Total population!!Male,Estimate!!SEX AND AGE!!Total population!!Female,Margin of Error!!SEX AND AGE!!Total population!!Female,Percent!!SEX AND AGE!!Total population!!Female,Percent Margin of Error!!SEX AND AGE!!Total population!!Female,Estimate!!SEX AND AGE!!15 to 19 years,Margin of Error!!SEX AND AGE!!15 to 19 years,Percent!!SEX AND AGE!!15 to 19 years,Percent Margin of Error!!SEX AND AGE!!15 to 19 years,Estimate!!SEX AND AGE!!20 to 24 years,Margin of Error!!SEX AND AGE!!20 to 24 years,Percent!!SEX AND AGE!!20 to 24 years,Percent Margin of Error!!SEX AND AGE!!20 to 24 years
7950000US1703501,"Chicago City (North)--Edgewater, Uptown & Rogers Park PUMA; Illinois",80034,5005,49.6,2,81166,5996,50.4,2,7259,2099,4.5,1.2,11405,2579,7.1,1.5
7950000US1703502,"Chicago City (North)--Lake View & Lincoln Park PUMA, Illinois",78369,4364,49.3,1.9,80753,4106,50.7,1.9,4539,1095,2.9,0.7,19079,3097,12,1.9
7950000US1703503,"Chicago City (North)--West Ridge, Lincoln Square & North Center PUMA; Illinois",73158,5063,50.4,1.7,71943,4298,49.6,1.7,6354,1547,4.4,1,8406,1878,5.8,1.2
7950000US1703504,"Chicago City (Northwest)--Irving Park, Albany Park, Forest Glen & North Park PUMA; Illinois",69529,5756,49.1,2,72087,4960,50.9,2,6579,1477,4.6,0.9,8936,2079,6.3,1.3
7950000US1703520,"Chicago City (Northwest)--Portage Park, Dunning & Jefferson Park PUMA; Illinois",66662,4603,49.1,1.3,69211,4494,50.9,1.3,6635,1237,4.9,0.8,10011,1722,7.4,1.1
7950000US1703521,"Chicago City (West)--Austin, Belmont Cragin & Montclare PUMA; Illinois",95016,5484,46.7,1.3,108625,6697,53.3,1.3,15400,2330,7.6,1,16575,2487,8.1,1.2
7950000US1703522,"Chicago City (Northwest)--Logan Square, Avondale & Hermosa PUMA; Illinois",67901,4822,51,1.6,65245,4067,49,1.6,7160,1595,5.4,1.1,10638,1983,8,1.3
7950000US1703523,"Chicago City (West)--North & South Lawndale, Humboldt Park, East & West Garfield Park PUMA; Illinois",103137,6199,48.9,1.4,107976,6177,51.1,1.4,16534,2282,7.8,1,19171,2397,9.1,0.9
7950000US1703524,"Chicago City (West)--West Town, Near West Side & Lower West Side PUMA; Illinois",92285,5418,51.8,1.7,85915,5842,48.2,1.7,8471,1970,4.8,1,20316,2849,11.4,1.4
7950000US1703525,"Chicago City (Central)--Near North Side, Loop & Near South Side PUMA; Illinois",67719,6024,47.4,2.5,75021,6760,52.6,2.5,3797,1041,2.7,0.7,9898,2627,6.9,1.8
7950000US1703526,"Chicago City (Southwest)--Brighton Park, New City, Bridgeport & McKinley Park PUMA; Illinois",81889,4661,50.5,1.6,80224,5250,49.5,1.6,11713,2061,7.2,1.1,12501,1883,7.7,1.1
7950000US1703527,"Chicago City (Southwest)--Gage Park, Garfield Ridge & West Lawn PUMA; Illinois",78337,6698,49,1.7,81670,6192,51,1.7,12595,2143,7.9,1.2,9186,1760,5.7,1
7950000US1703528,"Chicago City (South)--Chicago Lawn, Englewood/West Englewood & Greater Grand Crossing PUMA; Illinois",71278,4297,47.3,1.6,79401,5290,52.7,1.6,10435,1587,6.9,1,13376,1964,8.9,1.2
7950000US1703529,"Chicago City (South)--South Shore, Hyde Park, Woodlawn, Grand Boulevard & Douglas PUMA; Illinois",81096,5173,44,1.6,103346,5809,56,1.6,14915,2232,8.1,1.1,16279,2831,8.8,1.4
7950000US1703530,"Chicago City (South)--Ashburn, Washington Heights, Morgan Park & Beverly PUMA; Illinois",59790,4890,45.3,2.2,72225,5035,54.7,2.2,9084,1504,6.9,1,10905,2319,8.3,1.7
7950000US1703531,"Chicago City (South)--Auburn Gresham, Roseland, Chatham, Avalon Park & Burnside PUMA; Illinois",61524,5597,45.4,2,73958,6103,54.6,2,8899,1756,6.6,1.1,8848,1769,6.5,1.1
7950000US1703532,"Chicago City (South)--South Chicago, Pullman, West Pullman, East Side & South Deering PUMA; Illinois",59958,4464,45.8,2.1,70856,5657,54.2,2.1,9077,1732,6.9,1.2,8931,1440,6.8,1
